Student_ID,Age,Gender,Grade,Section,Math_Score,Science_Score,English_Score,Social_Score,Computer_Score,Attendance_Percentage,Study_Hours,Homework_Completion,Parent_Education,Family_Income,Transport_Mode,Distance_from_School_km,Extra_Curricular,Sports_Participation,Discipline_Record,Library_Usage,Internet_Access,Online_Class_Attendance,Health_Issues,Scholarship,Exam_Stress_Level,Teacher_Feedback,Peer_Interaction,Result_Status
1,10,Male,8,A,94,86,71,64,56,63,4,No,Graduate,40967,Van,7.81,Music,Yes,Poor,Medium,No,Regular,Minor,No,Low,Excellent,High,Pass
2,5,Female,6,B,65,55,38,70,98,80,1,Yes,Graduate,62836,Van,7.96,None,No,Good,Medium,No,Irregular,Chronic,No,Low,Good,Medium,Fail
3,10,Female,9,C,77,92,59,84,66,69,6,No,Post Graduate,98370,Van,17.22,Sports,No,Good,Medium,No,Irregular,Chronic,Yes,Medium,Good,High,Fail
4,13,Male,3,B,38,83,92,35,60,90,1,Yes,Graduate,89454,Walk,12.68,Dance,No,Average,Low,No,Irregular,Minor,No,Low,Average,Low,Pass
5,6,Male,5,D,76,57,50,94,95,81,1,Yes,Graduate,37457,Bus,14.91,Music,No,Good,Medium,Yes,Regular,Chronic,Yes,High,Excellent,High,Fail
6,7,Male,2,B,59,96,56,51,47,60,4,Yes,Post Graduate,47117,Van,6.2,Dance,No,Average,High,No,Irregular,None,Yes,Low,Good,Low,Fail
7,13,Male,7,D,66,97,39,81,90,73,4,No,Graduate,30184,Cycle,19.29,Sports,No,Good,Low,Yes,Irregular,Chronic,No,Low,Good,Medium,Fail
8,10,Male,8,D,54,77,73,43,99,61,1,Yes,Post Graduate,18617,Cycle,3.95,Music,Yes,Good,High,Yes,Regular,None,No,Medium,Good,Low,Fail
9,14,Female,9,A,72,84,77,57,78,69,6,Yes,High School,68097,Walk,1.89,None,No,Poor,High,No,Regular,None,Yes,High,Excellent,High,Pass
10,17,Male,6,C,52,53,88,55,60,90,4,No,Graduate,22383,Walk,1.51,None,Yes,Average,Low,No,Regular,Chronic,Yes,Medium,Average,High,Pass
11,7,Male,6,D,38,58,39,96,97,82,6,Yes,Graduate,85972,Cycle,3.12,Music,No,Poor,Low,Yes,Irregular,Minor,No,Medium,Excellent,High,Pass
12,11,Male,10,A,67,58,80,72,89,61,5,No,Post Graduate,95783,Bus,1.87,Music,Yes,Average,Low,Yes,Regular,Chronic,No,High,Average,Medium,Fail
13,5,Female,9,A,80,71,46,56,63,89,1,No,High School,36234,Van,5.66,None,No,Good,Low,No,Irregular,Minor,No,High,Good,High,Fail
14,6,Female,5,C,72,57,53,57,58,61,4,No,Graduate,15435,Van,12.32,Music,Yes,Average,Medium,No,Irregular,Chronic,No,Medium,Average,Medium,Fail
15,12,Female,12,B,58,59,72,89,43,85,2,Yes,High School,78008,Walk,15.96,Sports,No,Average,High,Yes,Irregular,Chronic,Yes,Low,Good,Low,Pass
16,14,Female,12,A,48,53,81,60,85,90,3,Yes,Graduate,14119,Bus,6.58,Sports,No,Good,High,No,Irregular,None,No,High,Average,Low,Fail
17,17,Male,7,A,85,82,87,45,99,79,7,Yes,Post Graduate,57494,Cycle,8.6,Music,Yes,Good,Medium,No,Irregular,Chronic,No,High,Average,Low,Pass
18,13,Female,7,D,40,80,39,79,79,93,3,Yes,High School,50943,Walk,4.93,None,Yes,Poor,High,Yes,Regular,Minor,Yes,High,Excellent,High,Fail
19,14,Male,7,C,37,59,96,94,62,71,3,No,High School,62793,Bus,12.01,Music,No,Poor,High,Yes,Irregular,None,No,Low,Average,High,Fail
